# CUDA_VISIBLE_DEVICES=1 python main.py --dataset oracle3 --batch-fs 1 \
--epochs 0 --manifold-mixup 80 --rotations --cosine --gamma 0.8 --milestones 20 --n-runs 1 \
--batch-size 128 --preprocessing ME --n-shots 1 --n-queries 19 --skip-epochs 0 Using pytorch version: 1.11.0
Importing local files: args, utils, datasets, eval_few_shot, models.
Namespace(batch_size=128, batch_fs=1, feature_maps=64, lr=0.1, epochs=0, milestones=[20, 40, 60], gamma=0.8, cosine=True, mixup=False, mm=False, label_smoothing=0, dropout=0, rotations=True, model='ResNet18', preprocessing='ME', postprocessing='', manifold_mixup=80, temperature=1.0, ema=0, device='cuda:0', dataset_path='/remote-home/jianghaitian/NNDLfinal/oracle_fs/img/oracle_200_1_shot_strokes/train/', dataset_device='cuda:0', deterministic=False, skip_epochs=0, runs=1, quiet=False, dataset='oracle3', dataset_size=-1, output='', save_features='', save_model='', test_features='', load_model='', seed=12, wandb='', n_shots=[1], n_runs=1, n_ways=5, n_queries=19, sample_aug=1, ncm_loss=False, episodic=False, episodes_per_epoch=100, transductive=False, transductive_softkmeans=False, transductive_n_iter=50, transductive_n_iter_sinkhorn=200, transductive_temperature=14, transductive_temperature_softkmeans=20, transductive_alpha=0.84, transductive_cosine=False, devices=[0])
Number of trainable parameters in model is: 11273484
  58 loss: 0.00912 test acc: 65.85%: 0h57m43s lr: 0.00157
  59 loss: 0.00902 test acc: 66.00%: 0h58m42s lr: 0.00040
  60 loss: 0.00867 test acc: 65.88%: 0h59m42s lr: 0.00000
  61 loss: 0.07167 test acc: 57.35%: 1h00m43s lr: 0.05089
  62 loss: 0.04340 test acc: 61.10%: 1h01m44s lr: 0.04995
  63 loss: 0.08686 test acc: 57.77%: 1h02m45s lr: 0.04842
  64 loss: 0.05969 test acc: 29.12%: 1h03m45s lr: 0.04632
  65 loss: 0.03778 test acc: 58.00%: 1h04m44s lr: 0.04372
  66 loss: 0.03116 test acc: 62.45%: 1h05m44s lr: 0.04066
  67 loss: 0.02942 test acc: 59.13%: 1h06m44s lr: 0.03724
  68 loss: 0.02130 test acc: 63.52%: 1h07m44s lr: 0.03353
  69 loss: 0.02361 test acc: 62.10%: 1h08m47s lr: 0.02962
  70 loss: 0.02149 test acc: 63.10%: 1h09m49s lr: 0.02562
  71 loss: 0.01668 test acc: 64.08%: 1h10m50s lr: 0.02161
  72 loss: 0.02128 test acc: 65.15%: 1h11m49s lr: 0.01771
  73 loss: 0.01291 test acc: 65.10%: 1h12m48s lr: 0.01399
  74 loss: 0.01167 test acc: 65.83%: 1h13m48s lr: 0.01057
  75 loss: 0.01007 test acc: 66.62%: 1h14m47s lr: 0.00751
  76 loss: 0.00893 test acc: 66.45%: 1h15m46s lr: 0.00490
  77 loss: 0.00851 test acc: 66.50%: 1h16m46s lr: 0.00280
  78 loss: 0.00798 test acc: 66.75%: 1h17m46s lr: 0.00126
  79 loss: 0.00783 test acc: 66.40%: 1h18m46s lr: 0.00032
  80 loss: 0.00742 test acc: 67.03%: 1h19m46s lr: 0.00000
Run 1 / 1
Top-1 67.03 (± 0.00) (conf: [0.00, 100.00]) (worst: 67.03, best: 67.03)
